"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager","=""11-3121""","161.7","176.5","14.8","9.2","14.8","121,220","Bachelor's degree","3","5 years or more","1","None","6"
"Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator","=""13-1071""","674.8","745.1","70.2","10.4","73.4","63,490","Bachelor's degree","3","None","4","None","6"
"Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist","=""19-2043""","6.5","6.9","0.4","5.6","0.7","84,040","Bachelor's degree","3","None","4","None","6"
"Industrial engineering technologists and technicians    * Industrial Engineering Technician* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist","=""17-3026""","64.1","66.9","2.8","4.4","6.3","57,320","Associate's degree","4","None","4","None","6"
"Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer","=""17-2112""","292.0","332.0","40.0","13.7","23.3","88,950","Bachelor's degree","3","None","4","None","6"
"Industrial machinery mechanics    * Bag Machine Adjuster* Boilerhouse Mechanic* Foundry Equipment Mechanic* Hydroelectric Machinery Mechanic* Industrial Conveyor Belt Repairer* Loom Fixer* Loom Technician","=""49-9041""","391.8","475.3","83.6","21.3","45.1","55,490","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager","=""11-3051""","189.3","199.3","10.0","5.3","13.9","108,790","Bachelor's degree","3","5 years or more","1","None","6"
"Industrial truck and tractor operators    * Forklift Driver* Forklift Operator* Front-End Loader Operator* Hydraulic Lift Driver* Industrial Truck Operator* Reach-Lift Truck Driver* Stacker Operator","=""53-7051""","631.6","680.3","48.7","7.7","75.0","37,560","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist","=""19-3032""","4.9","5.0","0.1","2.2","0.3","96,270","Master's degree","2","None","4","Internship/residency","1"
"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk","=""43-4199""","159.9","168.1","8.2","5.1","18.3","42,820","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Information security analysts","=""15-1212""","141.2","188.3","47.1","33.3","16.3","103,590","Bachelor's degree","3","Less than 5 years","2","None","6"
"Inspectors, testers, sorters, samplers, and weighers    * Ampoule Examiner* Bag Grader* Cigarette Examiner* Compressed Gas Tester* Machined Parts Quality Inspector* Petroleum Sampler* Quality Assurance Inspector* Quality Control Inspector* Quality Inspector* Spark Plug Tester","=""51-9061""","557.9","489.8","-68.1","-12.2","54.9","40,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Installation, maintenance, and repair workers, all other    * Bowling Alley Mechanic* Fire Extinguisher Installer* Gasoline Pump Installer* Gunsmith* Ski Lift Mechanic* Wheelwright* Windmill Mechanic* Window Shade Installer","=""49-9099""","173.2","183.4","10.2","5.9","19.2","42,480","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Coordinator* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist","=""25-9031""","190.4","208.9","18.4","9.7","20.4","66,970","Master's degree","2","5 years or more","1","None","6"
"Insulation workers, floor, ceiling, and wall    * Ceiling Insulation Blower* Composition Weatherboard Installer* Cork Insulation Installer* Cork Insulator* Insulation Machine Operator* Interior Surface Insulation Worker* Wall Insulation Sprayer","=""47-2131""","33.3","34.9","1.6","4.9","3.3","41,690","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator","=""47-2132""","28.2","29.6","1.4","5.1","2.8","50,030","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser","=""13-1032""","15.6","15.7","0.1","0.6","1.2","65,550","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk","=""43-9041""","277.9","281.8","3.9","1.4","26.7","42,050","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance sales agents    * Health Insurance Sales Agent* Insurance Agent* Insurance Broker* Life Insurance Agent* Life Insurance Salesperson* Pension Agent","=""41-3021""","507.2","542.7","35.5","7.0","50.4","52,180","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative","=""13-2053""","119.4","117.2","-2.2","-1.8","8.3","71,790","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer","=""27-1025""","87.0","86.9","-0.2","-0.2","7.8","57,060","Bachelor's degree","3","None","4","None","6"
"Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator","=""27-3091""","81.4","100.7","19.3","23.7","10.4","52,330","Bachelor's degree","3","None","4","None","6"
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer","=""43-4111""","180.2","168.4","-11.8","-6.5","20.1","36,170","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Janitors and cleaners, except maids and housekeeping cleaners    * Building Custodian* Cleaning and Maintenance Worker* Custodial Worker* Custodian* Floor Cleaner* Heavy Duty Custodian* Industrial Plant Custodian* Janitor* Office Cleaner* School Custodian* Window Cleaner* Window Washer","=""37-2011""","2,217.0","2,344.2","127.2","5.7","314.9","29,080","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith","=""51-9071""","32.4","32.1","-0.3","-0.8","3.8","41,900","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge","=""23-1023""","29.4","30.4","1.0","3.4","1.5","141,080","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Judicial law clerks    * Judicial Clerk","=""23-1012""","15.1","15.7","0.6","3.9","1.1","57,510","Doctoral or professional degree","1","None","4","None","6"
"Kindergarten teachers, except special education    * Bilingual Kindergarten Teacher* Kindergarten Teacher","=""25-2012""","121.3","131.1","9.8","8.1","13.5","57,860","Bachelor's degree","3","None","4","None","6"
"Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative","=""13-1075""","73.5","70.3","-3.2","-4.3","6.4","73,240","Bachelor's degree","3","Less than 5 years","2","None","6"
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer","=""53-7062""","2,821.7","3,077.5","255.8","9.1","411.3","31,120","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect","=""17-1012""","23.7","23.6","-0.1","-0.3","1.6","70,630","Bachelor's degree","3","None","4","Internship/residency","1"
"Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer","=""37-3011""","1,117.8","1,202.8","85.0","7.6","157.9","31,730","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter","=""51-4034""","23.7","22.7","-1.0","-4.4","2.2","41,380","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer","=""51-6011""","175.5","196.1","20.6","11.8","26.6","25,470","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","=""25-1112""","18.9","21.0","2.0","10.6","2.0","116,430","Doctoral or professional degree","1","Less than 5 years","2","None","6"
"Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer","=""23-1011""","804.2","875.7","71.5","8.9","46.0","126,930","Doctoral or professional degree","1","None","4","None","6"
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice","=""51-4192""","7.9","7.3","-0.5","-6.6","0.7","52,300","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal secretaries and administrative assistants    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant","=""43-6012""","160.4","126.7","-33.6","-21.0","12.0","48,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal support workers, all other    * Legal Technician","=""23-2099""","49.6","49.8","0.2","0.5","4.7","59,540","Associate's degree","4","None","4","None","6"
"Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member","=""11-1031""","52.2","56.1","4.0","7.6","4.3","33,200","Bachelor's degree","3","Less than 5 years","2","None","6"
"Librarians and media collections specialists","=""25-4022""","143.5","156.5","13.0","9.1","15.2","60,820","Master's degree","2","None","4","None","6"
"Library assistants, clerical    * Book Sorter* Braille and Talking Books Clerk* Circulation Clerk* Film Library Clerk* Library Aide* Library Assistant* Library Circulation Clerk* Library Clerk* Medical Library Assistant* Microfilm Clerk","=""43-4121""","88.0","87.5","-0.5","-0.6","13.4","28,730","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor","=""25-1082""","5.0","5.3","0.3","5.9","0.5","71,580","Doctoral or professional degree","1","None","4","None","6"
"Library technicians    * Cataloging Library Technical Assistant* Library Acquisitions Technician* Library Cataloging Technician* Library Circulation Technician* Library Technical Assistant* Serials or Bindery Library Technical Assistant","=""25-4031""","93.1","93.2","0.1","0.2","13.4","37,010","Postsecondary nondegree award","5","None","4","None","6"
"Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse","=""29-2061""","688.1","751.9","63.8","9.3","60.7","48,820","Postsecondary nondegree award","5","None","4","None","6"
"Life scientists, all other    * Life Science Taxonomist","=""19-1099""","7.0","7.6","0.6","8.4","0.6","82,000","Bachelor's degree","3","None","4","None","6"
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner","=""19-4099""","69.7","75.5","5.8","8.3","9.3","52,460","Associate's degree","4","None","4","None","6"
"Lifeguards, ski patrol, and other recreational protective service workers    * Beach Lifeguard* Certified Ski Patroller* Life Guard* OEC Technician* Outdoor Emergency Care Technician* Pool Lifeguard* Ski Patrol","=""33-9092""","117.5","146.3","28.7","24.5","35.7","25,020","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Light truck drivers    * Pharmacy Delivery Driver","=""53-3033""","1,035.8","1,136.8","101.1","9.8","128.3","37,050","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Lighting technicians and media and communication equipment workers, all other","=""27-4098""","23.3","27.1","3.8","16.2","2.9","70,980","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Loading and moving machine operators, underground mining","=""47-5044""","3.5","3.3","-0.2","-5.5","0.4","56,640","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor","=""43-4131""","208.8","203.8","-5.0","-2.4","17.6","41,370","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer","=""13-2072""","322.1","326.4","4.3","1.3","25.0","63,960","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant","=""39-3093""","12.0","15.2","3.2","26.3","3.2","26,700","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic","=""49-9094""","19.2","18.8","-0.5","-2.3","1.8","43,690","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Locomotive engineers    * Freight Engineer* Railroad Engineer* Railway Engineer* Train Engineer","=""53-4011""","26.5","27.9","1.5","5.6","2.5","71,870","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager","=""11-9081""","48.1","52.2","4.2","8.7","5.8","56,670","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader","=""45-4023""","4.0","4.3","0.3","7.7","0.7","36,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging equipment operators    * Delimber Operator* Feller Buncher Operator* Feller Operator* Grapple Operator* Grapple Skidder Operator* Log Hauler* Log Processor Operator* Log Stacker Operator* Logging Crane Operator* Logging Shovel Operator* Logging Tractor Operator* Lumber Stacker Operator* Timber Harvester Operator* Tree-Shear Operator","=""45-4022""","30.9","33.5","2.5","8.1","5.1","43,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Rigging Slinger* Timber Hand","=""45-4029""","5.0","5.3","0.3","6.3","0.8","41,410","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist","=""13-1081""","191.0","247.3","56.4","29.5","24.5","76,270","Bachelor's degree","3","None","4","None","6"
"Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator","=""53-7063""","63.0","66.9","3.9","6.3","8.8","33,000","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist","=""51-4041""","363.0","391.8","28.8","7.9","41.2","45,840","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist","=""29-2035""","42.0","45.3","3.4","8.1","3.4","74,690","Associate's degree","4","Less than 5 years","2","None","6"
"Maids and housekeeping cleaners    * Chambermaid* Cleaning Maid* Cottage Attendant* Domestic Maid* House Cleaner* Housekeeping Aide* Housekeeping Staff* Motel Maid* Ward Maid","=""37-2012""","1,212.8","1,350.3","137.5","11.3","183.3","26,220","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk","=""43-9051""","82.2","78.7","-3.4","-4.2","8.8","31,920","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Maintenance and repair workers, general    * Building Maintenance Mechanic* Building Mechanic* Building Services Mechanic* Maintenance Mechanic* Mechanics Handyman* Plant Maintenance Technician","=""49-9071""","1,444.1","1,561.1","117.0","8.1","152.3","40,850","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Maintenance workers, machinery    * Crane Oiler","=""49-9043""","65.6","72.6","7.0","10.7","6.8","50,100","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Makeup artists, theatrical and performance    * Special Effects Makeup Artist","=""39-5091""","3.1","4.2","1.1","37.0","0.5","106,920","Postsecondary nondegree award","5","None","4","None","6"
"Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Analyst* Management Consultant* Records Management Analyst","=""13-1111""","907.6","1,032.0","124.4","13.7","99.4","87,660","Bachelor's degree","3","Less than 5 years","2","None","6"
"Manicurists and pedicurists    * Fingernail Sculptor* Nail Technician* Pedicurist","=""39-5092""","123.0","163.1","40.1","32.6","18.8","27,870","Postsecondary nondegree award","5","None","4","None","6"
"Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member","=""49-9095""","3.4","2.8","-0.6","-18.4","0.3","35,120","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer","=""17-2121""","9.8","10.2","0.4","3.9","0.5","95,440","Bachelor's degree","3","None","4","None","6"
"Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist","=""13-1161""","740.9","904.5","163.6","22.1","96.0","65,810","Bachelor's degree","3","None","4","None","6"
"Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing","=""11-2021""","293.7","323.1","29.4","10.0","28.5","142,170","Bachelor's degree","3","5 years or more","1","None","6"
"Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor","=""21-1013""","73.2","85.1","12.0","16.4","8.5","51,340","Master's degree","2","None","4","Internship/residency","1"
"Massage therapists    * Deep Tissue Massage Therapist* Licensed Massage Practitioner* Licensed Massage Therapist* Massage Therapist* Masseur* Masseuse* Massotherapist* Rolfer* Swedish Masseuse","=""31-9011""","144.6","191.1","46.5","32.2","23.3","43,620","Postsecondary nondegree award","5","None","4","None","6"
"Material moving workers, all other    * Freight Elevator Operator","=""53-7199""","27.1","29.6","2.5","9.1","3.6","32,850","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer","=""17-2131""","25.1","27.2","2.1","8.4","1.8","95,640","Bachelor's degree","3","None","4","None","6"
"Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist","=""19-2032""","7.1","7.3","0.3","3.9","0.7","99,460","Bachelor's degree","3","None","4","None","6"
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor","=""25-1022""","56.1","59.2","3.2","5.6","5.6","73,650","Doctoral or professional degree","1","None","4","None","6"
"Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician* Mathematician","=""15-2021""","2.7","2.8","0.1","2.7","0.2","110,860","Master's degree","2","None","4","None","6"
"Meat, poultry, and fish cutters and trimmers    * Crab Picker* Deboner* Fish Cutter* Fish Filleter* Frozen Meat Cutter* Meat Trimmer* Oyster Shucker* Poultry Cutter* Poultry Eviscerator* Shrimp Peeler* Shrimp Picker* Wing Scorer","=""51-3022""","153.0","158.0","5.0","3.3","18.4","30,190","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Mechanical door repairers    * Automatic Door Mechanic* Door Closer Mechanic* Garage Door Technician* Mechanical Door Repairer* Overhead Door Technician","=""49-9011""","22.8","25.5","2.8","12.2","2.2","43,220","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Mechanical drafters    * Aeronautical Drafter* Automotive Design Drafter* Die Designer* Gage Designer* Mechanical Design Drafter* Mechanical Drafter* Tool Designer* Tool and Die Designer","=""17-3013""","53.6","51.0","-2.5","-4.7","4.7","58,270","Associate's degree","4","None","4","None","6"
"Mechanical engineering technologists and technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Optomechanical Technician","=""17-3027""","40.4","42.7","2.3","5.7","4.0","58,230","Associate's degree","4","None","4","None","6"
"Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer","=""17-2141""","299.2","320.1","20.9","7.0","20.2","90,160","Bachelor's degree","3","None","4","None","6"
"Media and communication workers, all other    * Stage Technician","=""27-3099""","21.5","26.4","4.9","22.9","2.7","49,730","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager","=""11-9111""","429.8","569.4","139.6","32.5","51.8","104,280","Bachelor's degree","3","Less than 5 years","2","None","6"
"Medical appliance technicians    * Arch-Support Maker* Brace Maker* Hearing Aid Repair Technician* Orthopaedic Technician* Orthopaedic Technologist* Orthotic Fabricator Technician* Orthotic Finish Grinding Technician* Orthotics Fitter* Orthotics Technician* Prosthetics Fabrication Technician* Prosthetics Lab Technician* Prosthetics Technician* Surgical Appliance Fitter","=""51-9082""","14.6","16.7","2.1","14.4","2.2","41,750","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical assistants    * Autopsy Assistant* Certified Medical Assistant* Chiropractic Assistant* Clinical Medical Assistant* Morgue Attendant* Ocular Care Aide* Optometric Aide* Optometrist Assistant* Optometry Assistant* Orthopedic Cast Specialist* Podiatric Aide","=""31-9092""","720.9","853.5","132.6","18.4","104.4","35,850","Postsecondary nondegree award","5","None","4","None","6"
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other","=""29-2098""","335.0","363.6","28.6","8.5","27.4","44,090","Postsecondary nondegree award","5","None","4","None","6"
"Medical equipment preparers    * Central Sterile Supply Technician* Certified Registered Central Service Technician* Health Equipment Servicer* Medical Equipment Preparer* Medical Supply Technician* Oxygen Equipment Preparer* Sterile Preparation Technician* Sterile Processing Technician* Sterile Processing and Distribution Technician* Sterilization Specialist* Sterilization Technician","=""31-9093""","58.7","63.6","4.9","8.4","7.9","38,800","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic","=""49-9062""","54.9","58.8","3.9","7.2","6.3","51,610","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Clinical Research Scientist* Gerontologist* Histologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist","=""19-1042""","133.9","156.6","22.6","16.9","12.6","91,510","Doctoral or professional degree","1","None","4","None","6"
"Medical secretaries and administrative assistants    * Dental Secretary* Hospital Secretary* Psychiatric Secretary","=""43-6013""","611.2","676.1","64.9","10.6","75.2","37,350","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical transcriptionists    * Certified Medical Transcriptionist* Medical Record Transcriber* Medical Stenographer* Medical Transcriber* Medical Transcriptionist* Pathology Transcriptionist* Radiology Transcriptionist* Registered Medical Transcriptionist","=""31-9094""","52.4","48.5","-3.9","-7.4","6.6","35,270","Postsecondary nondegree award","5","None","4","None","6"
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner","=""13-1121""","125.9","148.0","22.1","17.5","16.4","51,560","Bachelor's degree","3","None","4","None","6"
"Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker","=""21-1023""","124.0","142.5","18.5","14.9","14.0","48,720","Master's degree","2","None","4","Internship/residency","1"
"Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer","=""27-1026""","136.4","142.4","6.1","4.4","13.2","30,810","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
