,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
92,13-1121,"Meeting, Convention, and Event Planners",detailed,102420,25.3,23.22,48290,2017
94,13-1131,Fundraisers,detailed,72920,28.81,26.75,55640,2017
96,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,80530,32.29,30.14,62680,2017
98,13-1151,Training and Development Specialists,detailed,280340,31.11,29.02,60360,2017
100,13-1161,Market Research Analysts and Marketing Specialists,detailed,596450,34.35,30.4,63230,2017
102,13-1199,"Business Operations Specialists, All Other",detailed,1001420,36.42,33.66,70010,2017
103,13-2000,Financial Specialists,minor,2661230,39.51,33.71,70120,2017
105,13-2011,Accountants and Auditors,detailed,1241000,37.46,33.34,69350,2017
107,13-2021,Appraisers and Assessors of Real Estate,detailed,58880,29.25,25.97,54010,2017
109,13-2031,Budget Analysts,detailed,54550,37.83,36.17,75240,2017
111,13-2041,Credit Analysts,detailed,74850,39.86,34.27,71290,2017
113,13-2051,Financial Analysts,detailed,294110,47.8,40.53,84300,2017
114,13-2052,Personal Financial Advisors,detailed,200920,59.68,43.58,90640,2017
115,13-2053,Insurance Underwriters,detailed,89910,37.34,33.54,69760,2017
117,13-2061,Financial Examiners,detailed,52580,44.12,39.28,81690,2017
119,13-2071,Credit Counselors,detailed,35900,23.78,21.5,44710,2017
120,13-2072,Loan Officers,detailed,307240,37.46,31.09,64660,2017
122,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,56660,28.43,25.54,53130,2017
123,13-2082,Tax Preparers,detailed,68720,22.64,18.62,38730,2017
125,13-2099,"Financial Specialists, All Other",detailed,125900,36.84,33.42,69520,2017
126,15-0000,Computer and Mathematical Occupations,major,4261460,43.18,40.66,84560,2017
127,15-1100,Computer Occupations,minor,4094930,43.16,40.67,84580,2017
129,15-1111,Computer and Information Research Scientists,detailed,27920,57.49,55.06,114520,2017
131,15-1121,Computer Systems Analysts,detailed,581960,44.59,42.44,88270,2017
132,15-1122,Information Security Analysts,detailed,105250,47.93,45.92,95510,2017
134,15-1131,Computer Programmers,detailed,247690,42.08,39.54,82240,2017
135,15-1132,"Software Developers, Applications",detailed,849230,51.3,48.94,101790,2017
136,15-1133,"Software Developers, Systems Software",detailed,394590,53.74,51.73,107600,2017
137,15-1134,Web Developers,detailed,125890,35.63,32.69,67990,2017
139,15-1141,Database Administrators,detailed,113690,42.81,41.84,87020,2017
140,15-1142,Network and Computer Systems Administrators,detailed,375040,41.51,38.99,81100,2017
141,15-1143,Computer Network Architects,detailed,157830,51.86,50.31,104650,2017
143,15-1151,Computer User Support Specialists,detailed,613780,26.03,24.14,50210,2017
144,15-1152,Computer Network Support Specialists,detailed,186230,32.46,29.97,62340,2017
146,15-1199,"Computer Occupations, All Other",detailed,315830,43.79,42.56,88510,2017
147,15-2000,Mathematical Science Occupations,minor,166530,43.49,40.41,84060,2017
149,15-2011,Actuaries,detailed,19210,55.21,48.83,101560,2017
151,15-2021,Mathematicians,detailed,2730,50.33,49.52,103010,2017
153,15-2031,Operations Research Analysts,detailed,106050,41.59,39.13,81390,2017
155,15-2041,Statisticians,detailed,36540,42.78,40.41,84060,2017
156,15-2090,Miscellaneous Mathematical Science Occupations,detailed,2000,35.42,27.83,57890,2017
158,17-0000,Architecture and Engineering Occupations,major,2516780,41.44,38.07,79180,2017
159,17-1000,"Architects, Surveyors, and Cartographers",minor,177030,37.97,34.63,72020,2017
161,17-1011,"Architects, Except Landscape and Naval",detailed,103110,42.07,37.72,78470,2017
162,17-1012,Landscape Architects,detailed,19040,34.08,31.62,65760,2017
164,17-1021,Cartographers and Photogrammetrists,detailed,11440,32.4,30.76,63990,2017
165,17-1022,Surveyors,detailed,43430,31.4,29.4,61140,2017
166,17-2000,Engineers,minor,1665220,47.21,44.34,92220,2017
168,17-2011,Aerospace Engineers,detailed,65760,55.43,54.34,113030,2017
170,17-2021,Agricultural Engineers,detailed,1770,37.49,35.95,74780,2017
172,17-2031,Biomedical Engineers,detailed,20100,44.7,42.33,88040,2017
174,17-2041,Chemical Engineers,detailed,33500,54.05,49.12,102160,2017
176,17-2051,Civil Engineers,detailed,298910,44.13,40.75,84770,2017
178,17-2061,Computer Hardware Engineers,detailed,66770,57.52,55.35,115120,2017
180,17-2071,Electrical Engineers,detailed,183370,47.87,45.7,95060,2017
181,17-2072,"Electronics Engineers, Except Computer",detailed,134930,51.33,49.13,102180,2017
183,17-2081,Environmental Engineers,detailed,52640,43.83,41.73,86800,2017
185,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,26130,44.32,42.55,88510,2017
186,17-2112,Industrial Engineers,detailed,265520,43.43,41.29,85880,2017
188,17-2121,Marine Engineers and Naval Architects,detailed,10960,46.59,43.74,90970,2017
190,17-2131,Materials Engineers,detailed,27200,47.41,45.48,94610,2017
192,17-2141,Mechanical Engineers,detailed,291290,43.99,41.29,85880,2017
194,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,6150,49.86,45.31,94240,2017
196,17-2161,Nuclear Engineers,detailed,16700,52.36,50.87,105810,2017
198,17-2171,Petroleum Engineers,detailed,32010,74.41,63.6,132280,2017
200,17-2199,"Engineers, All Other",detailed,131500,47.74,46.75,97250,2017
201,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,674540,28.1,26.83,55810,2017
203,17-3011,Architectural and Civil Drafters,detailed,95960,26.5,25.42,52870,2017
204,17-3012,Electrical and Electronics Drafters,detailed,26060,30.64,28.7,59690,2017
205,17-3013,Mechanical Drafters,detailed,58190,27.96,26.5,55130,2017
206,17-3019,"Drafters, All Other",detailed,15300,25.96,24.18,50290,2017
208,17-3021,Aerospace Engineering and Operations Technicians,detailed,11710,34.3,32.33,67240,2017
209,17-3022,Civil Engineering Technicians,detailed,71430,25.77,24.82,51620,2017
210,17-3023,Electrical and Electronics Engineering Technicians,detailed,128320,30.91,30.6,63660,2017
211,17-3024,Electro-Mechanical Technicians,detailed,13050,28.6,27.28,56740,2017
212,17-3025,Environmental Engineering Technicians,detailed,17590,25.77,24.15,50230,2017
213,17-3026,Industrial Engineering Technicians,detailed,65020,27.79,26.1,54280,2017
214,17-3027,Mechanical Engineering Technicians,detailed,43390,27.97,26.62,55360,2017
215,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,76630,31.03,29.92,62230,2017
217,17-3031,Surveying and Mapping Technicians,detailed,51890,22.28,20.84,43340,2017
218,19-0000,"Life, Physical, and Social Science Occupations",major,1148300,35.76,31.01,64510,2017
219,19-1000,Life Scientists,minor,292310,40.8,35.43,73700,2017
221,19-1011,Animal Scientists,detailed,2550,33.1,29.21,60760,2017
222,19-1012,Food Scientists and Technologists,detailed,15020,34.61,30.6,63660,2017
223,19-1013,Soil and Plant Scientists,detailed,14180,33.26,30.01,62430,2017
225,19-1021,Biochemists and Biophysicists,detailed,27380,50.68,43.84,91190,2017
226,19-1022,Microbiologists,detailed,21870,37.69,33.64,69960,2017
227,19-1023,Zoologists and Wildlife Biologists,detailed,17710,31.85,29.95,62290,2017
228,19-1029,"Biological Scientists, All Other",detailed,37590,38.56,36.87,76690,2017
230,19-1031,Conservation Scientists,detailed,22040,31.18,29.56,61480,2017
231,19-1032,Foresters,detailed,8300,29.67,28.9,60120,2017
233,19-1041,Epidemiologists,detailed,6870,36.65,33.49,69660,2017
234,19-1042,"Medical Scientists, Except Epidemiologists",detailed,111690,46.19,39.46,82090,2017
236,19-1099,"Life Scientists, All Other",detailed,7120,39.55,35.84,74540,2017
237,19-2000,Physical Scientists,minor,253660,42.53,37.88,78790,2017
239,19-2011,Astronomers,detailed,2020,52.67,48.36,100590,2017
240,19-2012,Physicists,detailed,16710,59.17,57.13,118830,2017
242,19-2021,Atmospheric and Space Scientists,detailed,8940,45.05,44.27,92070,2017
244,19-2031,Chemists,detailed,84400,39.36,35.94,74740,2017
245,19-2032,Materials Scientists,detailed,7470,48.99,47.85,99530,2017
247,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,81920,36.64,33.37,69400,2017
248,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,28520,50.88,43.2,89850,2017
249,19-2043,Hydrologists,detailed,6350,40.53,38.46,79990,2017
251,19-2099,"Physical Scientists, All Other",detailed,17320,51.53,49.99,103990,2017
252,19-3000,Social Scientists and Related Workers,minor,243150,39.96,37.01,76970,2017
254,19-3011,Economists,detailed,19550,54.16,49.27,102490,2017
256,19-3022,Survey Researchers,detailed,11270,29.18,26.09,54270,2017
258,19-3031,"Clinical, Counseling, and School Psychologists",detailed,108060,39.1,36.1,75090,2017
259,19-3032,Industrial-Organizational Psychologists,detailed,920,49.29,41.87,87100,2017
260,19-3039,"Psychologists, All Other",detailed,12880,44.92,46.99,97740,2017
262,19-3041,Sociologists,detailed,2770,41.41,38.29,79650,2017
264,19-3051,Urban and Regional Planners,detailed,35310,35.75,34.37,71490,2017
266,19-3091,Anthropologists and Archeologists,detailed,6120,31.89,29.94,62280,2017
267,19-3092,Geographers,detailed,1400,36.92,36.95,76860,2017
268,19-3093,Historians,detailed,3060,30.88,28.42,59120,2017
269,19-3094,Political Scientists,detailed,6320,53.86,55.34,115110,2017
270,19-3099,"Social Scientists and Related Workers, All Other",detailed,35490,40.01,38.16,79370,2017
271,19-4000,"Life, Physical, and Social Science Technicians",minor,359180,24.02,22.01,45780,2017
273,19-4011,Agricultural and Food Science Technicians,detailed,21120,20.63,19.19,39910,2017
275,19-4021,Biological Technicians,detailed,74980,22.79,21.06,43800,2017
277,19-4031,Chemical Technicians,detailed,64550,24.52,22.73,47280,2017
279,19-4041,Geological and Petroleum Technicians,detailed,14820,30.5,26.05,54190,2017
281,19-4051,Nuclear Technicians,detailed,6850,38.46,38.64,80370,2017
283,19-4061,Social Science Research Assistants,detailed,31500,23.57,22.12,46000,2017
285,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,32840,23.71,21.87,45490,2017
286,19-4092,Forensic Science Technicians,detailed,15070,29.43,27.81,57850,2017
287,19-4093,Forest and Conservation Technicians,detailed,30570,18.84,17.37,36130,2017
288,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,66890,24.6,23.12,48090,2017
289,21-0000,Community and Social Service Occupations,major,2096740,23.1,21.08,43840,2017
290,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,2017250,23.11,21.09,43860,2017
292,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,271350,28.18,26.64,55410,2017
293,21-1013,Marriage and Family Therapists,detailed,42880,25.89,23.45,48790,2017
294,21-1015,Rehabilitation Counselors,detailed,103840,18.73,16.76,34860,2017
295,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,241930,22.38,20.82,43300,2017
296,21-1019,"Counselors, All Other",detailed,27150,22.89,20.85,43370,2017
298,21-1021,"Child, Family, and School Social Workers",detailed,306370,23.28,21.34,44380,2017
299,21-1022,Healthcare Social Workers,detailed,167730,27.31,26.38,54870,2017
300,21-1023,Mental Health and Substance Abuse Social Workers,detailed,112040,22.99,20.79,43250,2017
301,21-1029,"Social Workers, All Other",detailed,58150,29.28,29.8,61980,2017
303,21-1091,Health Educators,detailed,58040,28.37,25.93,53940,2017
304,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,87700,27.23,24.71,51410,2017
305,21-1093,Social and Human Service Assistants,detailed,384080,17.05,15.92,33120,2017
306,21-1094,Community Health Workers,detailed,54760,20.36,18.45,38370,2017
307,21-1099,"Community and Social Service Specialists, All Other",detailed,101230,21.53,19.99,41570,2017
308,21-2000,Religious Workers,minor,79490,23.02,20.87,43410,2017
310,21-2011,Clergy,detailed,49850,24.43,22.65,47100,2017
312,21-2021,"Directors, Religious Activities and Education",detailed,21430,21.86,18.74,38980,2017
314,21-2099,"Religious Workers, All Other",detailed,8210,17.49,14.09,29310,2017
315,23-0000,Legal Occupations,major,1095770,51.62,38.5,80080,2017
316,23-1000,"Lawyers, Judges, and Related Workers",minor,692660,66.18,55.87,116210,2017
318,23-1011,Lawyers,detailed,628370,68.22,57.33,119250,2017
319,23-1012,Judicial Law Clerks,detailed,15260,27.84,24.68,51330,2017
321,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,14480,47.25,45.57,94790,2017
322,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,6110,35.11,29.17,60670,2017
323,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,28440,58.2,64.34,133840,2017
324,23-2000,Legal Support Workers,minor,403110,26.6,24.34,50630,2017
326,23-2011,Paralegals and Legal Assistants,detailed,290410,25.92,24.24,50410,2017
328,23-2091,Court Reporters,detailed,15220,28.88,26.5,55120,2017
329,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,53040,24.61,22.53,46850,2017
330,23-2099,"Legal Support Workers, All Other",detailed,44440,32.67,26.98,56120,2017
331,25-0000,"Education, Training, and Library Occupations",major,8727710,26.67,23.43,48740,2017
332,25-1000,Postsecondary Teachers,minor,1525170,*,*,67140,2017
334,25-1011,"Business Teachers, Postsecondary",detailed,84340,*,*,80300,2017
336,25-1021,"Computer Science Teachers, Postsecondary",detailed,32230,*,*,78630,2017
337,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,50870,*,*,70910,2017
339,25-1031,"Architecture Teachers, Postsecondary",detailed,7280,*,*,80050,2017
340,25-1032,"Engineering Teachers, Postsecondary",detailed,37500,*,*,98360,2017
342,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,10800,*,*,86140,2017
343,25-1042,"Biological Science Teachers, Postsecondary",detailed,49910,*,*,78240,2017
344,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,2000,*,*,87420,2017
346,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,10730,*,*,87380,2017
347,25-1052,"Chemistry Teachers, Postsecondary",detailed,21090,*,*,77190,2017
348,25-1053,"Environmental Science Teachers, Postsecondary",detailed,5990,*,*,76360,2017
349,25-1054,"Physics Teachers, Postsecondary",detailed,13710,*,*,87340,2017
351,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,5770,*,*,81580,2017
352,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,9850,*,*,72230,2017
353,25-1063,"Economics Teachers, Postsecondary",detailed,12770,*,*,98350,2017
354,25-1064,"Geography Teachers, Postsecondary",detailed,3980,*,*,78040,2017
355,25-1065,"Political Science Teachers, Postsecondary",detailed,16200,*,*,81430,2017
356,25-1066,"Psychology Teachers, Postsecondary",detailed,37090,*,*,73770,2017
357,25-1067,"Sociology Teachers, Postsecondary",detailed,13630,*,*,73080,2017
358,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,16580,*,*,64480,2017
360,25-1071,"Health Specialties Teachers, Postsecondary",detailed,194610,*,*,97870,2017
361,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,55580,*,*,71260,2017
363,25-1081,"Education Teachers, Postsecondary",detailed,60500,*,*,64020,2017
364,25-1082,"Library Science Teachers, Postsecondary",detailed,5010,*,*,70940,2017
366,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,14210,*,*,60400,2017
367,25-1112,"Law Teachers, Postsecondary",detailed,16900,*,*,104910,2017
368,25-1113,"Social Work Teachers, Postsecondary",detailed,12430,*,*,64370,2017
370,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,95110,*,*,66930,2017
371,25-1122,"Communications Teachers, Postsecondary",detailed,28770,*,*,66510,2017
372,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,69140,*,*,64910,2017
373,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,27240,*,*,65010,2017
374,25-1125,"History Teachers, Postsecondary",detailed,21120,*,*,72690,2017
375,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,22920,*,*,69590,2017
377,25-1191,Graduate Teaching Assistants,detailed,136820,*,*,32460,2017
378,25-1192,"Home Economics Teachers, Postsecondary",detailed,2580,*,*,71630,2017
379,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,16630,*,*,60150,2017
380,25-1194,"Vocational Education Teachers, Postsecondary",detailed,114020,27.23,24.81,51600,2017
381,25-1199,"Postsecondary Teachers, All Other",detailed,189270,*,*,64480,2017
382,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,4174870,*,*,55790,2017
384,25-2011,"Preschool Teachers, Except Special Education",detailed,409740,16.15,13.94,28990,2017
385,25-2012,"Kindergarten Teachers, Except Special Education",detailed,140660,*,*,54230,2017
387,25-2021,"Elementary School Teachers, Except Special Education",detailed,1409140,*,*,57160,2017
388,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,622340,*,*,57720,2017
389,25-2023,"Career/Technical Education Teachers, Middle School",detailed,12040,*,*,58630,2017
391,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,1027230,*,*,59170,2017
392,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,78840,*,*,58660,2017
394,25-2051,"Special Education Teachers, Preschool",detailed,28540,*,*,53640,2017
395,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,184920,*,*,58600,2017
396,25-2053,"Special Education Teachers, Middle School",detailed,87550,*,*,59510,2017
397,25-2054,"Special Education Teachers, Secondary School",detailed,135910,*,*,60180,2017
398,25-2059,"Special Education Teachers, All Other",detailed,37980,*,*,54800,2017
399,25-3000,Other Teachers and Instructors,minor,1204930,18.89,15.6,32460,2017
401,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,60670,27.31,25.05,52100,2017
403,25-3021,Self-Enrichment Education Teachers,detailed,238710,21.46,18.48,38440,2017
405,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,294240,*,*,39710,2017
406,25-3098,Substitute Teachers,detailed,611310,15.15,13.59,28270,2017
407,25-4000,"Librarians, Curators, and Archivists",minor,246760,24.3,22.78,47380,2017
409,25-4011,Archivists,detailed,6080,26.67,24.88,51760,2017
410,25-4012,Curators,detailed,11550,28.28,25.85,53770,2017
411,25-4013,Museum Technicians and Conservators,detailed,12290,21.62,19.55,40670,2017
413,25-4021,Librarians,detailed,126800,29.21,28.14,58520,2017
415,25-4031,Library Technicians,detailed,90030,17.07,16.2,33690,2017
416,25-9000,"Other Education, Training, and Library Occupations",minor,1576000,*,*,28320,2017
418,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,10430,24.66,23.36,48590,2017
420,25-9021,Farm and Home Management Advisors,detailed,8450,25.11,23.8,49510,2017
422,25-9031,Instructional Coordinators,detailed,157490,32.06,30.65,63750,2017
424,25-9041,Teacher Assistants,detailed,1299800,*,*,26260,2017
426,25-9099,"Education, Training, and Library Workers, All Other",detailed,99830,22.69,20.74,43140,2017
427,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1925140,28.34,23.19,48230,2017
428,27-1000,Art and Design Workers,minor,597970,25.92,21.75,45250,2017
430,27-1011,Art Directors,detailed,38110,49.76,44.47,92500,2017
431,27-1012,Craft Artists,detailed,4730,19.8,16.8,34940,2017
432,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,11230,27.66,23.81,49520,2017
433,27-1014,Multimedia Artists and Animators,detailed,29860,36.81,33.91,70530,2017
434,27-1019,"Artists and Related Workers, All Other",detailed,7010,32.01,30.55,63540,2017
436,27-1021,Commercial and Industrial Designers,detailed,31250,33.91,31.72,65970,2017
437,27-1022,Fashion Designers,detailed,18940,37.92,32.41,67420,2017
438,27-1023,Floral Designers,detailed,43470,13.57,12.67,26350,2017
439,27-1024,Graphic Designers,detailed,217170,25.62,23.41,48700,2017
440,27-1025,Interior Designers,detailed,56070,27.99,24.76,51500,2017
441,27-1026,Merchandise Displayers and Window Trimmers,detailed,120870,14.88,13.31,27680,2017
442,27-1027,Set and Exhibit Designers,detailed,11490,28.65,25.52,53090,2017
443,27-1029,"Designers, All Other",detailed,7770,31.92,26.89,55930,2017
444,27-2000,"Entertainers and Performers, Sports and Related Workers",minor,508410,28.78,20.2,42010,2017
446,27-2011,Actors,detailed,43470,32.89,17.49,*,2017
447,27-2012,Producers and Directors,detailed,117520,43.64,34.43,71620,2017
449,27-2021,Athletes and Sports Competitors,detailed,11150,*,*,51370,2017
450,27-2022,Coaches and Scouts,detailed,235400,*,*,32270,2017
451,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,18610,*,*,26800,2017
453,27-2031,Dancers,detailed,9930,17.7,14.25,*,2017
454,27-2032,Choreographers,detailed,5310,25.47,23.28,48420,2017
456,27-2041,Music Directors and Composers,detailed,15400,29.56,24.32,50590,2017
457,27-2042,Musicians and Singers,detailed,40170,35.86,26.96,*,2017
459,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,11440,23.15,17.09,*,2017
460,27-3000,Media and Communication Workers,minor,581520,31.07,27.09,56340,2017
462,27-3011,Radio and Television Announcers,detailed,28580,22.9,15.6,32450,2017
463,27-3012,Public Address System and Other Announcers,detailed,7920,20.07,13.67,28440,2017
465,27-3021,Broadcast News Analysts,detailed,5700,42.43,30.24,62910,2017
466,27-3022,Reporters and Correspondents,detailed,38790,24.79,18.93,39370,2017
468,27-3031,Public Relations Specialists,detailed,233730,32.69,28.51,59300,2017
470,27-3041,Editors,detailed,96890,32.8,28.25,58770,2017
471,27-3042,Technical Writers,detailed,49960,35.79,34.1,70930,2017
472,27-3043,Writers and Authors,detailed,45300,34.67,29.72,61820,2017
474,27-3091,Interpreters and Translators,detailed,53150,24.9,22.69,47190,2017
475,27-3099,"Media and Communication Workers, All Other",detailed,21510,25.56,23.03,47900,2017
476,27-4000,Media and Communication Equipment Workers,minor,237240,26.82,21.91,45570,2017
478,27-4011,Audio and Video Equipment Technicians,detailed,72740,22.85,20.28,42190,2017
479,27-4012,Broadcast Technicians,detailed,30390,22.47,18.78,39060,2017
480,27-4013,Radio Operators,detailed,770,21.39,21.31,44330,2017
481,27-4014,Sound Engineering Technicians,detailed,13370,32.78,26.83,55810,2017
483,27-4021,Photographers,detailed,49320,20.17,15.62,32490,2017
485,27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,20860,29.58,25.74,53550,2017
486,27-4032,Film and Video Editors,detailed,30770,40.36,29.41,61180,2017
488,27-4099,"Media and Communication Equipment Workers, All Other",detailed,19030,37.27,38.22,79500,2017
489,29-0000,Healthcare Practitioners and Technical Occupations,major,8506740,38.83,31.14,64770,2017
490,29-1000,Health Diagnosing and Treating Practitioners,minor,5269630,48.45,38.21,79480,2017
492,29-1011,Chiropractors,detailed,33630,40.07,33,68640,2017
494,29-1021,"Dentists, General",detailed,110400,83.71,72.81,151440,2017
495,29-1022,Oral and Maxillofacial Surgeons,detailed,4800,116.7,#,#,2017
496,29-1023,Orthodontists,detailed,5080,110.28,#,#,2017
497,29-1024,Prosthodontists,detailed,430,94.69,89.02,185150,2017
498,29-1029,"Dentists, All Other Specialists",detailed,4590,96.15,91.75,190840,2017
500,29-1031,Dietitians and Nutritionists,detailed,62980,28.92,28.56,59410,2017
502,29-1041,Optometrists,detailed,37240,57.26,53.03,110300,2017
504,29-1051,Pharmacists,detailed,309330,58.52,59.7,124170,2017
506,29-1061,Anesthesiologists,detailed,30590,127.88,#,#,2017
507,29-1062,Family and General Practitioners,detailed,126440,100.27,95.55,198740,2017
508,29-1063,"Internists, General",detailed,42280,95.37,92.75,192930,2017
509,29-1064,Obstetricians and Gynecologists,detailed,18880,113.1,#,#,2017
510,29-1065,"Pediatricians, General",detailed,28990,90.16,83,172650,2017
511,29-1066,Psychiatrists,detailed,25250,103.89,#,#,2017
512,29-1067,Surgeons,detailed,38600,121.1,#,#,2017
513,29-1069,"Physicians and Surgeons, All Other",detailed,355460,101.63,#,#,2017
515,29-1071,Physician Assistants,detailed,109220,50.37,50.41,104860,2017
517,29-1081,Podiatrists,detailed,9670,71.38,61.41,127740,2017
519,29-1122,Occupational Therapists,detailed,126050,40.69,40,83200,2017
520,29-1123,Physical Therapists,detailed,225420,42.34,41.76,86850,2017
521,29-1124,Radiation Therapists,detailed,17250,40.96,38.73,80570,2017
522,29-1125,Recreational Therapists,detailed,18490,23.88,22.92,47680,2017
523,29-1126,Respiratory Therapists,detailed,128250,29.72,28.71,59710,2017
524,29-1127,Speech-Language Pathologists,detailed,142360,38.35,36.83,76610,2017
525,29-1128,Exercise Physiologists,detailed,6300,26.31,23.6,49090,2017
526,29-1129,"Therapists, All Other",detailed,12020,28.02,25.89,53850,2017
528,29-1131,Veterinarians,detailed,69370,48.81,43.47,90420,2017
530,29-1141,Registered Nurses,detailed,2906840,35.36,33.65,70000,2017
532,29-1151,Nurse Anesthetists,detailed,42620,81.47,79.38,165120,2017
534,29-1161,Nurse Midwives,detailed,6530,49.83,48.36,100590,2017
536,29-1171,Nurse Practitioners,detailed,166280,51.68,49.94,103880,2017
538,29-1181,Audiologists,detailed,12020,38.48,36.5,75920,2017
540,29-1199,"Health Diagnosing and Treating Practitioners, All Other",detailed,35970,40.49,35.49,73830,2017
541,29-2000,Health Technologists and Technicians,minor,3075910,22.74,20.95,43590,2017
542,29-2010,Clinical Laboratory Technologists and Technicians,detailed,322380,25.59,24.89,51770,2017
545,29-2021,Dental Hygienists,detailed,211600,35.91,35.61,74070,2017
547,29-2031,Cardiovascular Technologists and Technicians,detailed,56130,27.52,26.57,55270,2017
548,29-2032,Diagnostic Medical Sonographers,detailed,68750,35.19,34.33,71410,2017
549,29-2033,Nuclear Medicine Technologists,detailed,18930,37.33,36.38,75660,2017
550,29-2034,Radiologic Technologists,detailed,201200,29,28.1,58440,2017
551,29-2035,Magnetic Resonance Imaging Technologists,detailed,37490,33.89,33.62,69930,2017
553,29-2041,Emergency Medical Technicians and Paramedics,detailed,251860,17.64,16.05,33380,2017
555,29-2051,Dietetic Technicians,detailed,33370,14.24,12.74,26500,2017
556,29-2052,Pharmacy Technicians,detailed,417720,15.9,15.26,31750,2017
557,29-2053,Psychiatric Technicians,detailed,66930,17.34,15.23,31670,2017
558,29-2054,Respiratory Therapy Technicians,detailed,9600,24.47,24.21,50350,2017
559,29-2055,Surgical Technologists,detailed,106470,23.11,22.26,46310,2017
560,29-2056,Veterinary Technologists and Technicians,detailed,103430,16.69,16.06,33400,2017
561,29-2057,Ophthalmic Medical Technicians,detailed,48060,18.03,17.27,35910,2017
563,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,702700,21.98,21.65,45030,2017
565,29-2071,Medical Records and Health Information Technicians,detailed,204220,20.59,18.83,39180,2017
567,29-2081,"Opticians, Dispensing",detailed,75450,18.79,17.43,36250,2017
569,29-2091,Orthotists and Prosthetists,detailed,7840,34.12,31.85,66240,2017
570,29-2092,Hearing Aid Specialists,detailed,7380,27.42,26.38,54860,2017
571,29-2099,"Health Technologists and Technicians, All Other",detailed,124390,22.45,20.1,41800,2017
572,29-9000,Other Healthcare Practitioners and Technical Occupations,minor,161190,31.19,29.19,60710,2017
574,29-9011,Occupational Health and Safety Specialists,detailed,81330,35.38,34.51,71780,2017
575,29-9012,Occupational Health and Safety Technicians,detailed,17490,25.93,24.02,49960,2017
577,29-9091,Athletic Trainers,detailed,25010,*,*,46630,2017
578,29-9092,Genetic Counselors,detailed,2660,37.56,37.25,77480,2017
579,29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,34700,29.13,24.77,51530,2017
580,31-0000,Healthcare Support Occupations,major,4113410,15.05,13.8,28710,2017
581,31-1000,"Nursing, Psychiatric, and Home Health Aides",minor,2393040,13.03,12.31,25610,2017
583,31-1011,Home Health Aides,detailed,820960,11.67,11.16,23210,2017
584,31-1013,Psychiatric Aides,detailed,65770,14.1,13.04,27110,2017
